top,bookname,collection,info,label,type
14,九龙神鼎,3589817,【2014星创奖第五季参赛作品】一念可碎日月星辰，一指可灭苍天霸主，谈笑间，诸天十界灰飞烟灭。  一个从山沟走出的穷小子，手握九龙神鼎，掌控万古时空，踏上太古神道，与诸天帝子争锋，与神话时代碰撞，在光怪陆离的大千世界中，逆流而上。,热血、无敌文,[玄幻]
15,神荒龙帝,3486985,一滴龙血，可压碎山河，一根龙骨，可撕裂苍穹，一双龙眸，可看穿古今！在这里，有女帝君临天下！有古兽只手遮天！ 有大魔祸乱天地，也有人族先贤镇压八荒！少年凌飞身怀龙骨，崛起于微末，闯神荒，探帝墓，开启了一条与亿万神魔争锋的无敌 之路！ 整个天地……因他而变 ！【已有六百万字完本老书《不死武尊》】更有国漫精品《大唐玄笔录》，网文，影视等多方面联动，妖月夜出品，必属精品，可放心阅读。,系统流、异兽流、无敌流、召唤流、天才流、诸天流、老师、脑洞大,[玄幻]
16,九阳帝尊,3449529,一头比山岳还要大的金翅大鹏，成了少年楚晨的分身，从此他获得了进入神墓的资格，神墓之中，一座座玉棺散发着摧枯拉朽的上古之力....,轻松、无敌文、丹药,[玄幻]
17,不死武尊,3085670,【完本火书】一个落魄的少年偶得吞天神诀，可吞噬一切天地元气为己用，从此逆天破命，一雪前耻，凭借着神奇的生命武魂，他凝聚不死之身，横扫九天十地，雄霸天下！火热新书【不死武皇】正连载中，认准作者，妖月夜！,重生、系统流、无敌流、天才流、扮猪吃虎、强者归来、仙帝、热血,[玄幻]
18,全职法师,2369457,一觉醒来，世界巨变。藏匿于西湖下的图腾玄蛇，屹立时如摩天大厦。游荡在古都城墙外的亡灵大军，它们只听从皇陵下传出的低语。埃及金字塔中的冥王，它和它的部众始终觊觎着东方大地！伦敦有着伟大的驯龙世家。希腊帕特农圣山上，有神女祈福。威尼斯被誉为水系魔法之都。奈斯卡巨画从沉睡中苏醒。贺兰山风与雨侵蚀出的岩纹，组成一只眼，山脊是眶，数万年来凝视着上苍。,腹黑、学生,[玄幻]
19,妖龙古帝,2300980,妖龙古帝苏寒，曾经执掌圣域，镇压一世，为银河星系之巅！却因融合各大修为层次，走火入魔，形神俱灭。手下叛变，挚爱沉睡，好友被追杀！重活一世，定当卷土重来，逆转乾坤，杀尽一切叛变之人！【妖龙古帝】书友群1群：663538422。【妖龙古帝】订阅群：854293507。,铁血、医生、重生、位面,[玄幻]
20,主宰之王,2123108,他意志坚韧，不甘平庸，却资质平平，出自卑微的支族。一次意外，他融合一只太古神灵的眼睛，从此鲤鱼跃龙门，如彗星般崛起，踏上传奇修行之路。从渺小蝼蚁的世界底层，步步生莲，踏入这个宗门林立、天才如云、远古万族、神话争锋、波澜壮阔的大时代。————  【新书《永恒之心》 已经发布】  可以交流，获取更多独家资讯。,暂无,[玄幻]
21,武道霸主,1887388,"【2014星创奖第一季参赛作品】人有三魂七魄，七魄壮，能肉搏蛟龙；三魂升，可手摘日月！少年罗峰痴情三年,却换来无情背叛！夺舍融合后，他身具五魂十四魄，成为天下第一妖孽，带着霸道之势，横扫寰宇八荒！vip书友群:171707940",嚣张、无敌文、热血、成神流、智商在线、天才流、升级流,[玄幻]
22,伏天氏,1856058,东方神州，有人皇立道统，有圣贤宗门传道，有诸侯雄踞一方王国，诸强林立，神州动乱千万载，值此之时，一代天骄叶青帝及东凰大帝横空出世，东方神州一统！      然，叶青帝忽然暴毙，世间雕像尽皆被毁，于世间除名，沦为禁忌；从此神州唯东凰大帝独尊！      十五年后，东海青州城，一名为叶伏天的少年，开启了他的传奇之路…,暂无,[玄幻]
23,永恒圣帝,1794884,【NEXT IDEA 暨2015星创奖征文大赏（玄幻）】【日更百万字神作！】      在这天地间，有一帝座，至高无上，主宰天下沉浮。      诸天万域，万千种族，亿万生灵，莫不俯首称臣。      大世天骄，万域纷争，争相竞逐无上帝座，角逐最强帝者。      一代人族绝世天骄叶晨渡史上最可怕的大劫而殒落，转世重生，带着前世记忆再度修炼，欲要成为永恒不朽的无上帝君。      且看一代至尊的重生逆天之路！,热血、强者回归、位面,[玄幻]
24,九幽天帝,1649583,【2014星创奖第五季参赛作品】【暴爽爽文，火爆玄幻】为夺有望冲击神境至宝万物之源，一代强者九幽大帝陨落，重生为一名叫石枫的少年。且看石枫如何凭借苏醒的前世记忆，扼杀各方天才，夺天地造化，踏着累累白骨，回归大帝之位！创了个书友群：14865773。,热血、练功流、重生、杀伐果断、无敌流、扮猪吃虎、轻松、系统流,[玄幻]
25,剑破九天,1546041,一剑诛仙佛，一剑葬神魔！他本是皇城第一武道天才，却被未婚妻设计毁去丹田，无法修行。绝望之际，竟发现体内藏有一座剑神墓！十八道神秘墓碑，刻印着无上剑道绝学，墓中更有一道神剑之魂，名为葬天！从此之后，一个亘古未有的剑神横空出世，威震九天！,热血、杀手、废柴流、位面,[玄幻]
26,七界武神,1505281,【推荐新书《大尊》】 神州大陆，唯武独尊！    在这片浩瀚的大陆，武者便是金字塔顶端的生物，强大的武者可以粉碎天地，打破苍穹，战上九重天。    而要想成为武者，就必须拥有武魂！    叶天是一名华夏国的特种兵，穿越到了这个崇武的世界，凭着与生俱来天赋，他在十五岁时便达到了觉醒武魂的条件，可惜命运和他开了一个玩笑，他竟然没有武魂！    然而一次奇遇之后，让他得到了上古巫师的禁忌手册，练成了吞噬体质，没有武魂？可以吞噬别人的武魂。,无敌文、穿越,[玄幻]
27,万古至尊,1497190,十大封号武帝之一，绝世古飞扬在天荡山脉陨落，于十五年后转世重生，化为天水国公子李云霄，开启了一场与当世无数天才相争锋的逆天之旅。武道九重，十方神境，从此整个世界暴走！//火爆新书《天神诀》已发，欢迎大家捧场。,铁血、特种兵、无限流、西游,[玄幻]
28,绝世药神,1312397,【NEXT IDEA 暨2015星创奖征文大赏（玄幻）】一代丹帝被奸人陷害从此，世上少了一个青云子，多了一个无敌纨绔重走丹药大道何以逆苍天，以我手中药！vip书友群478668611，进群需验证粉丝值，舵主以上可入,重生、嚣张、丹药,[玄幻]
29,神魔天尊,1290664,剑阁侯府，第四代子孙“宁小川”，在他被送进墓地埋葬时，却因为一位天外来客的到来，起死回生，从棺材里面爬出！   命运从此改变…   一滴神水，显化一个万族世界；魔剑一挥，斩破三千繁华宇宙。   待到神魔通天时，立地三日化至尊！,热血、穿越,[玄幻]
30,万龙神尊,1237995,那前方尸骨如山，血似海流，而他从长生中来，无路可走，唯九死一生。书友群：普通书友群577050312，正版读者群：616904347,热血、杀手、系统流、位面,[玄幻]
31,疯狂升级系统,1209241,【【2016星创奖之玄幻参赛作品】】【火热升级系统】经脉残破不能修炼？没关系！有疯狂升级系统，做任务，杀杀怪，吞噬点别人灵力，或者是炼制下丹药，刻下大阵，就能获得经验！经验值太低？不怕，我有双倍经验卡，十倍经验卡！经验值爆爆爆，级数升升升！什么天才，什么大家族少爷，什么帝国皇子，再妖孽的天赋，面对这疯狂升级，都被远远甩在后面！“咦，我又升级了？”易天云一觉醒来，发现自己又升级了……,热血、宅男、系统流、位面,[玄幻]
32,武神血脉,1155562,【2014星创奖第一季参赛作品】少年李叶，偶得太古血祖之神瞳，融合成自身神级血脉，从此鲤鱼跃龙门，彗星般崛起！修武道巅峰，踏上成神之路，笑傲苍穹！,成神流、穿越、天才流、扮猪吃虎、多女主、长生、杀伐果断、热血,[玄幻]
33,狂武战帝,1143655,【中国梦征文参赛作品】若这山河不在，要我残躯何用？《神魔之上》新书已经发布，日更一万+,护短、孤儿、练功流、赚钱,[玄幻]
34,天神诀,1064651,【火爆玄幻】一滴魔血，照破山河万朵。一卷古经，湮灭日月轮回。一部神诀，埋葬诸天至尊。杨青玄得天命传承，修无敌之法，开启了一场碾压当世无数天才，通往万古不朽的强者之路！“我一向以德服人，不服的都是死人！”,爆笑、学生、强者回归、玄学,[玄幻]
35,焚天神帝,1000656,【中国梦征文参赛作品】【新书：九域仙王（温柔美女师父，泼辣小师妹，妖娆神秘的九域女皇！）】九界御火第一师，丹祖，器神，杀人王，毁天灭地弹指间。他是世间第一狂。---------------------------------------------------------------------------------,暂无,[玄幻]
36,傲剑天穹,956549,百年星祭，七星坠落！究竟是开罪了上天，还是另有原因？身体羸弱的少年，丹田中蕴藏七星之魂，从此踏上一条登天之路一个浩大的玄幻世界，热血澎湃，神秘无尽。七星耀，天下惊；叱咤星空，傲剑天穹！,暂无,[玄幻]
37,武破九荒,941843,【中国梦征文参赛作品】真灵大陆，天骄当世，妖孽横行。出身卑微的少年萧叶，得远古传承，从此武极天下，横推万敌。无敌的战场，天才血如海，妖孽骨成山，萧叶步步前行，登临绝巅，一路打到世上无人敢称尊。吾辈武者，当宁折不屈，杀伐决断，快意恩仇，镇杀世间一切敌！,热血、无敌文,[玄幻]
38,至尊剑皇,926009,古幽大陆，万族林立，一个小镇中的少年，坠崖重生，掀起一场惊动千古的浪潮。,暂无,[玄幻]
39,万古大帝,908800,【【2016星创奖之玄幻参赛作品】】吞天至尊凌霄，战神大陆十大封号至尊之首，触摸到神灵之境的绝世强者，却因好友陷害而死，重生于万年后一个平凡少年的身上。拳出乾坤动，念动星河灭，一代至尊，荣耀归来，从此踏上了一条横扫各路天才的无敌之路！《万古大帝》书友群：597752565。《万古大帝》VIP书友群：614330688，需要全订加截图验证。,热血、无敌文、龙,[玄幻]
40,逆剑狂神,894999,【2014Next Idea原创文学大赏参赛作品】少年林轩，灵脉破碎，遭人欺辱。偶得神秘小剑，开灵脉，练神功，悟无上剑道，衍化攻伐圣术！一剑星辰灭，一剑神魔惊，一剑在手，一世狂神！,嚣张、豪门、练功流、龙,[玄幻]
41,帝灭苍穹,892884,星域之内，地区以‘版图’之分，一为最低，七为最高。七级版图十大神族之首‘帝神族’圣子降临，可修肉体，可修法则！然其资质太高，天地不容，受天劫追杀，降临一级版图最弱星球。一段崛起之路，就此开始。……这是一个波澜壮阔的世界，在这里，有毁天灭地的大能，有可化山海的大妖，有实力滔天的圣魔，有掌握星空的帝神！“天不容我，我便灭了这天，以万古星界，成我一方神域！”  官方群：129868248  推荐女王新书——《极品仙帝在花都》,热血,[玄幻]
42,战天龙帝,880207,【【2016星创奖之玄幻参赛作品】】〔暴爽玄幻，最热爽文〕少年萧羿，血脉觉醒失败，父母遗留宝物被夺，受尽屈辱！却得龙帝逆鳞，铸造出了最强血脉。从此，萧羿脚踏天才，镇压龙族，吞噬万族血脉，一路崛起，成就史上最强龙帝。  我为龙帝，当主宰天地万物，万古不朽。,热血、无敌文、穿越、轻松,[玄幻]
43,狂武神帝,855673,【【2016星创奖之玄幻参赛作品】】（推荐小迁完结老书《灵鼎》，欢迎品读！）岁月洞，为人间五大禁地之一，方圆百丈万物枯寂，入者，十死无生！“九千年，我竟沉睡了九千年……”这一日，岁月洞中，少年睁开了双眼…,爆笑、老师、无敌文、玄学,[玄幻]
44,太古吞噬诀,845790,（新书发布:从扫墓开始签到，我无敌天下）我有一眼，能让神魔颤栗！我有一剑，可叫血漫九天！,热血、孤儿、重生、龙,[玄幻]
45,万道龙皇,836613,〔暴爽玄幻，最热爽文〕少年陆鸣，血脉被夺，沦为废人，受尽屈辱。幸得至尊神殿，重生无上血脉，从此脚踏天才，一路逆袭，踏上热血辉煌之路。噬无尽生灵，融诸天血脉，跨千山万水，闯九天十地，败尽天下英豪，修战龙真诀，成就万道龙皇。精品群号：570274770（需要验证粉丝值）  Vip群598630364（付费群）普通交流群：1039264198,暂无,[玄幻]
46,绝天武帝,824081,弹指天地覆，拔剑神魔伏！  绝代神王千年后醒来，发一言天下皆惊，镇服盖世天骄；行一步风云色变，踏灭举世恶敌！  以无敌之姿扫灭天下！  猛力更新中，求收藏和推荐票！,热血、重生、丹药,[玄幻]
47,魔天至尊,821764,【中国梦征文参赛作品】【新书上传：万域龙帝！敬请期待……】被一颗流星砸中，曾经的废物成为天才。命运从此改变……不服？哥让你跪下唱征服！能炼丹，会炼器。我乃魔天大帝转世，专治天才与不服！,热血、孤儿、无敌文,[玄幻]
48,九霄帝主,801739,【【2016星创奖之玄幻参赛作品】】本为天骄，却被蒙尘。一朝觉醒，龙腾九天。来自地球的灵魂穿越到天生双脉的家族少年身上，魂武双修洗刷废物之名，万古天脉之体重现于世，天外九霄谁敢称帝？,热血、宅男、学院流、龙,[玄幻]
49,龙傲战神,786215,少年龙傲，十年沉寂，从天才沦落为废物，受尽奚落和嘲讽。十年坚持，万次失败，终获神秘龙印。以混沌丹田，修炼无敌功法，炼化天地万物，吞噬无尽星辰，横扫荒宇，睥睨苍穹！问苍茫星宇，何人敢与我一战？,热血、龙、无敌文、扮猪吃虎、杀伐果断、脑洞大、轻松、争霸,[玄幻]
50,剑圣重生,780914,前世，与人为善却遭人欺，师姐为之惨死，挚爱为之饮恨，遗憾终身。重生，紧握手中之剑，守护曾经被夺走的一切，逆天改命！这一世，当持一剑，灭万界！一人一剑，绝世剑圣！,热血、重生,[玄幻]
51,剑之帝皇,777203,【中国梦征文参赛作品】柳枫，一个来自21世纪的大学生，一个纯正的宅男，在一次从网吧回来的路上被车撞死，本该就这么庸碌地死去，然而，他的灵魂，却来到了另外一个世界……    这是一个奇妙的世界，没有发达的科技，只有炫丽的武技、华丽的剑术，且看柳枫如何一步步踏上剑道的巅峰，成就剑之帝皇！新书《凌天剑神》已经发布!欢迎各位移步新书！,热血、穿越,[玄幻]
52,凌天神帝,772505,【热血玄幻爽文】      少年姜辰，携无上玄功横空出世，从此踏上一条逆天之路！      剑斩神王头，脚踏魔皇躯；笑饮神凰血，怒食真龙肉；天之骄子，盖代豪杰，无敌传说又如何？若敢逆我，只需一剑，便可荡平一切！      天若顺我，天可昌；天若逆我，我让它亡……           ,热血,[玄幻]
53,刀破苍穹,738437,【2014星创奖第一季参赛作品】【新书《剑破九天》已发布，求收藏！！】   诛邪魔，斗天神，挥刀破苍穹！  现代宅男穿越异界，成为玉京城头号大纨绔，一个废物大少爷。  幸好他拥有刀魂升级系统，杀妖兽、杀人都能升级变强，而且修炼没有瓶颈，更能获得神级功法，神通绝学。  昔日的废物大少爷终于逆袭，踩绝顶天才，灭至尊强者，铸就一段华丽的武神传说！  嚣张彪悍的人生，从此开始！,热血、特种兵、系统流、龙,[玄幻]
54,惊天剑帝,738270,【【2017玄幻征文】参赛作品】【火爆玄幻，热血爽文】一代少年英豪，逆天崛起，踩天骄，战群雄，诛群魔，灭众神，一路逆战，成就绝世剑帝！“这个世界，注定要在我的脚下瑟瑟发抖！”,无敌流、废柴流、天才流、草根崛起、扮猪吃虎、强者归来、冷静、成熟,[玄幻]
55,逆武丹尊,725593,【【2017玄幻征文】参赛作品】新书《逆武仙帝》已经发布。绝代丹王，重生一世，修别人没有的功法，炼别人不会炼的丹药。偶尔指点一下那些所谓的丹道大师，顺便，在收几个天才做弟子跟班。“想要功法？不是问题！”“想要丹药？不是问题！”“问题是，你跟我混了么？”这一世，莫忘尘注定要再踏巅峰，以丹凌云，以武逆天！,重生、丹药,[玄幻]
56,九域神皇,711796,【中国梦征文参赛作品】带着天地间最强体质重生在了一个小家族，拥有最强的浩然霸体，神秘强大的黄金神瞳，从此走上一条轰杀各种天才、妖孽之路，无论是天纵奇才，还是绝世妖孽，在秦川面前都是不堪一击，傲视天下，唯我独尊！,热血、明星、系统流、龙,[玄幻]
57,乾坤剑神,710484,【中国梦征文参赛作品】景言曾是景家最优秀的天才，十六岁突破武道九重天踏入先天之境，整个东临城无人能比，却莫名其妙在进入神风学院后境界跌落，成为笑柄。解开乾坤戒封印，重新崛起，最终制霸天元大陆，成为无数武者仰望的存在。,暂无,[玄幻]
58,炎玄九变,683758,【2014星创奖第五季参赛作品】少年沐凌，携冰而生，在这个修炼炎力的世界里，却因此而成为废物一般的存在，炎力觉醒六年时间，修为进境极为缓慢。    但是在突破第一个大阶的时候，他却发现这与大陆炎力格格不入的冰力，威力竟然出奇的强大，似乎正是一切炎力的克星。    饱受白眼与冷遇的他，终于是向世人展露出近妖的战斗能力，别人可以越级战斗，他却可以越阶战斗，踩天王，踏灵君，覆仙帝，灭神皇，成就无上巅峰！另：千万字玄幻《八荒斗神》和《九龙圣祖》已完结，新书《低调为王》正火热连载中，请继续支持，飞烟百拜谢！   `...,热血、废柴流、宠物、扮猪吃虎、杀伐果断、快节奏、升级流,[玄幻]
59,重生最强妖兽,670806,【精品完本】天穹大陆第一仙尊遭人暗算，重生为蛇，逆天化龙！生而为妖，当斩天下人！【书友群：565412325】,热血、系统流、变身,[玄幻]
60,尊上,670663,新书《我的师兄绝世无双》已发布上古终结之时，诸天浩劫降临，天道开始审判世间一切罪恶威震三千大世界的一代传奇霸主古清风，因其一身罪恶，遭天道审判当古清风在自己的陵园苏醒，他名字早已成为上古时代那些传奇故事中的传说。,淡定、强者回归,[玄幻]
61,万域灵神,666328,一代霸主，惨遭背叛，被四十九个强者围攻，惨死万劫山，重活一次，他要再登巅峰；强势崛起，杀入乱星域，斩尽十万强者，悟生死杀道，冲击至高神位！,热血、重生、丹药,[玄幻]
62,焚天大帝,664092,【百万追读，最爽玄幻】无敌帝尊鹿羽死后万年，附体重生在一个落魄的宗派少年的身上，凭着记忆中的万千绝世功法强势崛起。一万年后的今天，他发现对自己忠心耿耿的仆人已修炼成了天帝，给他侍寝的丫鬟已成为了神女，就连当年他天帝宫豢养的一条狗也修成了超级王兽……另外，大陆上那些顶尖仙门的老祖宗的秘密他全知道，他有空也得去敲诈一番！炼丹、炼器、布阵不过是兴趣，但这三道本是由他开创，且看鹿羽如何登顶至尊，横扫天地，霸绝万界！,热血、重生,[玄幻]
63,史上最牛帝皇系统,663449,"穿越过来成傀儡皇帝？没关系，我有帝皇召唤系统！你有权臣阴谋算计？我有毒士贾诩玩死你！你有王朝武将举世无双？我有杀神白起，兵仙韩信，智谋近妖诸葛亮，来，我让你三百回合再和你玩！你有绝世强者战天下？抱歉，这样的，我能打一百个！身具帝皇系统，那我就是这世界最强帝皇！我要让所有人知道，普天之下莫非王土,率土之滨莫非王臣！书友群：418488639  有兴趣的兄弟可以加下！",热血、豪门、系统流、位面,[玄幻]
64,混沌霸天决,656766,【【2016星创奖之玄幻参赛作品】】【玄幻火书，百万追读，爽燃到爆！】落魄少年沈浩轩觉醒传说中的混沌神体，修炼混沌霸天诀，掌握五行之灵，从此逆天改命，凝聚不死之身，横扫九天天骄，霸绝寰宇，唯我独尊！新书《史上最强宗门》！！！,热血、练功流、丹药,[玄幻]
65,大道朝天,654785,做了人类想成仙，生在地上要上天——鲁迅。（大道朝天官方一群，群号码：311875513，大道朝天官方二群，群号码：220593959，VIP读者全订阅群，群号码：670061923。欢迎加入）,暂无,[玄幻]
66,天帝传,647677,十方无影像，六道绝形踪。       跳出三界外，不在五行中。        红尘中，有美人如画，诗酒才俊，大江横流千帆过，而他只为武道，冷眼旁观。        无边黑夜，有邪魔嗜血，妖妃妩媚，万人尸坑千人冢，而他只做该做之事，坚守不变的本心。        待到那一天，来到天路最顶端的地方，他目望苍天，手指人间，喊出一句：“我是天帝君，众生来拜我。”,热血、杀手、强者回归,[玄幻]
67,赤龙武神,647182,〖订阅破两万，有声阅读播放超亿次作品〗赤龙，融合了混沌之中的第一滴精血，又称血龙，为神龙之祖。林晨，东阳郡林家一个少年，身怀赤龙血脉，却被人误以为是奎蛇血脉，因和家族天才弟子争斗，被扫地出门……且看林晨如何凭借赤龙血脉，于乱世之中杀出一条血路，成为古今万界最强武神！Q群：153442352（普通读者1群） 72375988（VIP读者群，需购买全部收费章节的读者才可进）,热血、杀手、练功流、龙,[玄幻]
68,最强战帝,646577,【2014星创奖第一季参赛作品】九星连珠之时，至阴之气涌现，大地被黑暗笼罩，万千魔神蠢蠢欲动， 乾坤倒转。    黑暗主宰魔神殿要掌控世界，邪神血祖想要横扫天下，封印数万载的魔族想要重临人间……    少年沈浪持“封天鼎”，修炼神魔功法，逆天改命，一步步解开天地迷局，吞噬无尽星辰，炼化天地万物……一个人，一把刀，手摘星辰，力破乾坤！     群 8749490,布局流、搞怪、热血、正能量、强者归来,[玄幻]
69,绝世皇帝,639894,林谦，地球的国战游戏达人，标准的人民币战士！发生意外后，重生到异界。然而，在这异界之中，除了修炼天赋好点，却没有特殊的一技之长。炼丹他炸炉，炼器成废铁，更别提阵法这些其他生活技能，一窍不通。不过林谦却偶然发现，他前世在游戏里称霸服务器的庞大帝国，不仅跟着穿越。原本只是一堆数据的无敌武将、军团长，以亿为单位的帝国大军，拥有了生命，活了过来，对他誓死效忠！新书：不死尊皇,热血,[玄幻]
70,超神妖孽,638679,这是一个被镇压万载的贱神。这是一个脸皮厚如城墙，谁惹谁倒霉的怪物。这是一个卷入世俗纷争，又担负起重塑神界使命的救世主。他叫云飞扬，一个无耻之徒，一个超神妖孽！“拜托，我只想和妹纸谈谈人生，能不能把拯救世界的重任交给别人啊……”,轻松、强者回归、位面,[玄幻]
71,纵天神帝,629583,【【2016星创奖之玄幻参赛作品】】【新书《都市之至尊帝主》，全力推荐，2019年必读火书！】苍生大义，执纵天之念，倾世一战！一片青叶逆乱岁月，揭开万古辛秘，少年从微末崛起，埋葬神魔。睡最美女人，杀最强敌人。融合九大真血，成就无上神帝，一人一剑，杀尽世间敌！QQ书友群：119546380,热血、无敌文、龙,[玄幻]
72,永恒之心,617881,外门弟子陈宇，体内融入了一颗神魔心脏。  心脏，乃生命中枢，人体致命的要害。而对陈宇来说，心脏却是防御最强的一点，并让他拥有赶超妖兽、神兽的无限潜力。  自此，他踏上一段波澜壮阔、荡气回肠的玄奇之旅。  天才如云之，天骄盖世。宗门林立之，我主沉浮。  万族辉煌之，跨界大战。太古悬谜之，神话争锋。  我心唯有，永恒！  ——  新书，迫切需要推荐、收藏。  已完本作品《主宰之王》、《仙河风暴》、《仙鸿路》等。  可以交流意见，获取更多独家资讯。,淡定、练功流,[玄幻]
73,开挂闯异界,615611,【完本力荐】异界无敌外挂1.0版：离线挂机修炼、完美战斗、探查、神器商店、隐身、倍击、加速、瞬移、能量护罩、分身、独立空间、无限分身、时间暂停、属性修改、强行奴役、无限复活、时光倒流、无敌、秒杀、复制、秒天秒地秒空气！夺舍宇宙！外挂【终极版】现已开启并横行无忌！！书友QQ群：252902859（一起开挂闯异界）,轻松、老师、系统流、赚钱,[玄幻]
74,超级传功,613440,苏应穿越了，得到了超级传功系统。什么叫超级传功？就是抽取到一个人物，你可以获得他毕生的功力绝学。比如，乔峰段誉虚竹，比如雄霸风云绝无神，再比如寇仲徐子陵邪王石之轩。当然，你要是想要神话人物，那也不是不可能的。,热血、系统流,[玄幻]
75,武御圣帝,606495,【【2016星创奖之玄幻参赛作品】】【精品玄幻 】天界六大天帝之一，因探寻天机在六道深渊陨落。机缘巧合下，在紫罗国人尽皆知的傻世子江枫身上重生，原本人人唾弃的傻世子，从此一飞冲天，开启一段崭新的武帝时代。  读者群：214168620 欢迎各位书友的加入。,轻松、强者回归、丹药,[玄幻]
76,绝鼎丹尊,605928,新书《圈养诸神》已经签约，各位老读者新朋友多多支持新书！   丹尊之路，崎岖坎坷，九鼎之上，是为绝鼎！   建了一个群：310159658，入群需要订阅截图,热血、强者回归、丹药,[玄幻]
