top,bookname,click,info,label,type
17,天骄战纪,38202,林寻独自从矿山牢狱中走出，掌御灵纹，心通万古，踏上了一条古今未有的传奇之路［微信公众号：xiaojinyu233］搜索公众号“萧瑾瑜”也可以添加。,爽文 技术流 扮猪吃虎,奇幻·玄幻
18,猎天争锋,31531,"一元、两仪、三才、四象……
【微信公众号：睡秋的庄园】
书友群：128946075。
完本老书：《真灵九变》、《仙路至尊》。",爽文 异世 升级 搞笑,奇幻·玄幻
19,太荒吞天诀,31390,"十大仙帝之一，因得重宝吞天神鼎，遭围攻惨死；携神鼎重生归来，吞四海，容八荒…一代邪神，踏天血洗仙界！
关注微信公众号搜索：《铁马飞桥》点击关注，不定时有剧情方面的更新！
公布一个群号：224382518",热血 升级 爽文 扮猪吃虎,奇幻·玄幻
20,第一氏族,29867,北方诸邦被雄才大略的君主统一，没有天人境修行者的南方大齐皇朝，却因为内部争权夺利而国势衰弱、万民离心。在修为冠绝天下的北方君主，准备南向用兵坐拥九州时，大齐第一氏族里的一名少年，睁开了重生的双眼，想要逆势而行。,热血 生活 重生 救亡,奇幻·玄幻
21,万世为王,29612,"再生少年时，重走修行路，既如此，此生当无敌，诸天千域，千秋万世，我为至尊神王！
微信公众号：贪睡的龙。诚邀亲们关注！",热血 爽文,奇幻·玄幻
22,问镜,27549,"我有一镜，乾坤山河也照得；
我有一剑，人心鬼域皆斩破；
我有一城，九重天里云中座；
我有一心，长生路上笑蹉跎。

世人为何要长生？因为长生包容一切的欲望，长生便是无限的可能。

问镜VIP群：186722958，星值在大侠以上的书友（大侠、豪侠、舵主、堂主、护法、宗师、掌门、盟主）请加。
通过个人中心-我的积分，可查阅星值。入群验证为纵横ID，入群后出示星值截图即可。
超级问镜群：81325855
新浪：http://weibo.com/u/2296679005/
腾讯：http://t.qq.com/nvxz2003/",余慈 照神铜鉴 修真 爽文,奇幻·玄幻
23,我不会武功,26475,"重生异世，成为风云帝国家世无双，却人人喊打，臭名昭著的纨绔世子爷！
受尽世人冷眼与嘲笑！
当沉寂的绝世武侠系统苏醒，他在异世的开挂人生，就此拉开序幕，你有逆天魔功，我有吸星大法，你有无上剑道，我有独孤九剑！系统绝学在手，大陆纵横……
…………
且看这身怀武侠系统的纨绔世子爷，如何在异世独领风骚，踏上武学之巅！
公众号：轻浮你一笑（更新提示，小说番外，人物动画等）
交流一群（565418708）已满！
交流二群（1085596430）期待大家加入！",热血 爽文 穿越 异世,奇幻·玄幻
24,龙象,22476,"有纨绔夜夜笙歌醉生梦死，
有将军战死沙场万骨成枯。
金戈铁马，床笫之间，不过人间疾苦。
庙堂江湖，尔虞我诈，终是黄土埋身。
诸佛龙象，过河走卒，有去无回。
——
书友群：346162676，欢迎加入！
新书上传，还望各位大佬帮衬！",热血 爽文,奇幻·玄幻
25,武夫凶猛,18247,"苍穹之下，圣人争道，凡夫俗子，命不如狗！
匹夫张潇，自创体系。有恩必报，有仇不饶！
武夫凶猛，诸圣当心！",热血 爽文 升级 搞笑,奇幻·玄幻
26,刀破仙途,14126,"本愿执剑走天涯，奈何大刀去砍柴。
出身剑宗的萧阳，有点不太正经，谁说剑宗弟子一定是剑仙？我可是用刀的！",爽文 搞笑 热血 争霸,奇幻·玄幻
27,圣武星辰,13990,"地球要被银河系深处的仙道宗门强拆了，而地球人对此一无所知。

一个热血玄幻故事。

 请关注公众号【乱世狂刀】。",升级 搞笑 穿越 爽文,奇幻·玄幻
28,龙符,13292,"苍茫大地，未来变革，混乱之中，龙蛇并起，谁是真龙，谁又是蟒蛇？或是天地众生，皆可成龙？

朝廷，江湖门派，世外仙道，千年世家，蛮族，魔神，妖族，上古巫道，千百势力，相互纠缠，因缘际会。",梦入神机 爽文 热血,奇幻·玄幻
29,通天之路,12401,"一个灵岳城里的低阶小散修魏索，在交易的时候被人骗了，拿到了一个破损的低级法宝，可是这个不值一文的破损法宝里头，却有一个已经活了几万年的器灵...而且和几万年前相比，很多原本稀少的东西现在已经很多了，魏索首先发现，价值半颗下品灵石的火符的炼制材料现在就很多，于是全部身家已经只剩下几颗下品灵石的小散修开始发迹了....他首先的目标是，娶天玄大陆修道界中最有名的美女水灵儿做老婆。
无罪新书《冰火破坏神》http://book.zongheng.com/book/296950.html",玄幻 无罪 热血 修真,奇幻·玄幻
30,狂暴逆袭,12071,吃饱吃好，神仙干倒；诸天风云，因我呼啸！,升级 爽文 废柴流 扮猪吃虎,奇幻·玄幻
31,仙魔变,11959,"六十年前，一个中年大叔带着一条长得像癞皮狗一样的麒麟和一头长得像鸭子一样的鸳鸯第一次走入了中州皇城。那一年，这个中年大叔穿过了山海主脉，穿过了四季平原，走进了青鸾学院。六十年后，林夕坐着一辆破旧的马车，从鹿林镇穿过半个云秦帝国，一路向北，行向青鸾学院…这是一个有关帝国和荣耀，有关忠贞和背叛，有关青春和热血，有关一个怀着与众不同目光的少年，有关一个强大的修行学院的故事，八个完本的人品保证，2012年初夏，无罪安静的为你讲述一个有趣的校园故事。
无罪新书《冰火破坏神》http://book.zongheng.com/book/296950.html",无罪 学院 穿越 热血,奇幻·玄幻
32,符皇,10932,"制神符，炼体魄，修无上剑道，悟法则奥义……陈汐凭借过人的胆识和逆天的机缘，在这神魔纵横的大世界中，最终踏上无尽大道的巅峰，掌控天下！
金鱼的微信公众号：搜索【萧瑾瑜】添加即可！
",扮猪吃虎 爽文 升级 技术流,奇幻·玄幻
33,未知的祷告,10691,"大约在两百年后人类的科技水平已经达到空前绝后，于是人类开始妄自尊大，认为自己是世界上最厉害的物种，当然那是人类没有遇到灾难，当灾难降临时人类开始思考，思考自己的价值思考自己的能力，思考自己所要面对的东西于是社会学应运而生。
当然不是每个人都是罗辑。
信仰的东西也有出错的时候。",异世 末世 爽文 升级,奇幻·玄幻
34,破晓之刺,9754,"这是一条没有止境的路，向前是延绵不绝的黑暗，向后是不绝于耳的惶惶之音。
我不明白究竟是这一生选择了我，还是我选择了这一生。—张家齐",刺客 完美的世界观 弥天大谎 存亡之争,奇幻·玄幻
35,我有一尊炼妖壶,9330,"天地为炉，阴阳为碳。
一个破夜壶，谁能想到，竟是传说中的上古神器“炼妖壶”！
刚刚穿越异世，还没吃上一口香喷喷的软饭，宅男韩风就不得不手掌炼妖壶，醉卧美人膝，开启自己寂寞如雪的新人生……

已有完结老书《我不会武功》，等更可以一看。
公众号：轻浮你一笑（更新提示，小说番外，人物动画等）
一群：炼妖壶&武功：565418708（已满）
二群：白龙郡&无名宗：1085596430（欢迎加入）",异世 热血 穿越 爽文,奇幻·玄幻
36,无敌剑魂,9016,"天有九重，人有九转，剑有九心！
一代帝王身遭惨死，携九绝剑，诸天灭地！
我既生，自当一剑平天下，九绝出，天地乱，鸿蒙诀，无双情！
公众号搜索《铁马飞桥》每日都有更新，请点击关注！",异世 扮猪吃虎 爽文 热血,奇幻·玄幻
37,圣王,8958,"圣者以脊梁撑起天堂中的诸神
王者以力量镇压地狱中的群魔
天地之间，唯有圣王 

梦入神机新书《星河大帝》http://book.zongheng.com/book/280744.html",杨奇 圣王 梦入神机 热血,奇幻·玄幻
38,血色圣歌,8799,开场满级主动带飞零级菜鸡：信仰我，带你傲立九界之巅！作为传说中的至尊纯血再世，这口气，墨岚能忍？？？.....他能！师父，爸爸，带我飞吧，我不想努力啦！【交流群1156150712】,热血 爽文 学院 轻松搞笑,奇幻·玄幻
39,万古第一皇,8489,我叫华羲，他们说我是龙的儿子，这事差点害死我……,扮猪吃虎 励志 热血 爽文,奇幻·玄幻
40,一世剑仙,8384,"在树宁镇相依为命的老者，却只是把少年当做一颗种子，三载苦熬，只为吃掉他。
......
修行路上苦寒，世间诸国浩荡，有少年自黑暗中走来，大幕掀起，剑出鞘！【读者群：657590866】",山海清幽 热血 文青 玄幻仙侠,奇幻·玄幻
41,灵界战雄,8136,一封调职通知书，让原本只是一名普通警察的余厦，不仅接触到了灵界的秘密，而且还得知关于灵魂和修仙等诸多离奇的真相，甚至连重启封神榜的重任，都落在他的头上！,悬疑推理 颠覆神话 反转套路 异界战争,奇幻·玄幻
42,十方神王,7653,十方天域，强者为尊，少年林天偶获神秘铁剑，炼无上武道，修阵术神法，战万族天骄而不败！七尺剑芒荡八荒，十方天内，我为至尊神王！……微信公众号：贪睡的龙。诚邀亲们关注！,热血 爽文 阵术 丹道,奇幻·玄幻
43,大荒蛮神,7066,"地球少年持魔尊传承降临异界，任蛮为亲，以神为骨，吞九幽噬阴阳，武霸蛮荒！修圣武，锻神体，上斩诸神屠万佛，逆掌万界我为皇！ 
【更俗的书迷世界，俗人部落第一千人群：385122373】",蛮魂修练 蛮荒 陈寻 丹药升级,奇幻·玄幻
44,万域之王,6796,"太古时代，有擎天巨灵，身如星辰，翱翔宙宇。
有身怀异血的各族大尊，破灭虚空，再造天地，有古炼气士，远渡星河，教化众生。
不知因何原因，一个时代悄然终结，万域隔绝，太古巨擎一一销声匿迹。
时隔多年，少年聂天，通过一滴鲜血，重回太古。微信公众号：作者逆苍天。(主角：聂天 裴琦琦 董丽)。",异世 爽文 热血,奇幻·玄幻
45,星河大帝,6655,"当人类开始踏入星河时代，古老的修行就焕发出来了新的生命力。

修行，无论在任何时代永远不会过时。

金刚经中，须菩提问释迦牟尼，“要成佛，如何降服其心？”。

一句话，就道尽了修行的真谛，四个字，降服其心。

心神通广大，所以孙悟空又叫做心猿。每一个人的心灵就是一尊孙悟空，降服心猿，就可成斗战胜佛。

在星河大帝之中，梦入神机为你阐述修行的真谛。

",升级 心灵大师 催眠 热血,奇幻·玄幻
46,大逆之门,6167,"我念为天意，我怒为天威。
微信公众号：作者知白",热血 爽文 重生,奇幻·玄幻
47,踏天无痕,5983,"【更俗的书迷世界，俗人部落VIP群：385122373，微信公众号：gengsu1979】
大燕帝国三十六王侯之族的姚氏宗子姚兴犯下大罪，修为被废，记忆抹除，流放到边陲投靠舅父，从天之骄子如日中天的云端跌落，沦为二流宗门太微宗最低级的道兵弟子，在一次意外中摔落山崖而死……",异世 丹药升级 扮猪吃虎 热血,奇幻·玄幻
48,剑道通神,5849,"新书《剑剑超神》已发，恳请关注并支持！
（微信公众号：六道沉沦，纵剑盟—VIP群：546750207。入群需截图验证）",剑道 升级 爽文,奇幻·玄幻
49,九天元帝,5599,混沌元石，也是万古第一顽石，顽石者，古来有之，试问普天之下谁人最顽？九天之顽石，顽尽万古实所共鉴之......,狂少 邪意 热血 个性,奇幻·玄幻
50,御天神帝,5537,"大千世界，界域三千。人族少年名青羽，自雪国出，威御诸天！
     乱世狂刀，2015热血新作！
　　【添加微信公众号：乱世狂刀】                                  【光明神殿（正版订阅群）： 318713892，暂时只收有粉丝值的兄弟】
【乱世狂刀-狂刀盟： 453892879，所有书友均可添加】",热血 爽文,奇幻·玄幻
51,恶魔深渊,5529,"他们想把我推进深渊，可他们并不知道，我……本就来自那里。
（书友qq群：579189671）",异世 魔兽 奇幻 救亡,奇幻·玄幻
52,斗灵神州,5445,"我辈男儿当自强，莫问英雄归来兮
大陆选中的天之骄子，背负苍生使命，誓死捍卫苍生命脉
麒麟隐，重剑藏，但心未泯
我不知父母何方，但却知路在脚下，内心坚指成为盖世强者。
一把三尺长剑斩妖邪，扶正道
因为有他的出现，生死兄弟逢机缘，待到儿伴终长成，各自一边护苍生
这是一个没有靠山的少年，终成盖世强者，守护苍生的故事
身怀绝世灵品，被天机锁，只凭半尺重剑，勇闯大陆
峰回路转，绝世功法，蕴浩瀚生机，赋予众生强大生命力
冥族降临大地，生灵涂炭，众种族摈弃前嫌，为保家园齐心抗冥
少年历经磨难，一路有贵人相助，带着一群兄弟，抗击冥族。最后终成一代传奇
先天麒麟隐又何妨，重剑是断的又怎样，我自天心真气护体，如有神助，待到枷锁尽失，锋芒显露，谁还敢与我争锋。
这个苍生终究要我们年轻一代传承守护！",热血 升级 斗气魔法 爽文,奇幻·玄幻
53,圣陆之圣祖传,5340,"上一世，他实力通天，突破之际，却惨遭天道和诸天万界至强者的暗算。
朋友一个个惨死在他的面前，心爱的女生也为了守护他而牺牲，涅灭之际，他拼死一战，强行夺下天道神令。
在天道神令的伟力之下，张雨为回到了过去......",玄学 复仇 重生 洪荒,奇幻·玄幻
54,剑剑超神,5124,"平平无奇普普通通的帮派小喽啰林霄金手指终于到账，自此提剑走向世界。
前不见古人后不见来者，念天地之悠悠，唯我林霄提剑，劈石、斩钢、摧城、崩山、裂地、覆海、破天、碎星、越生死跨轮回断因果、剑剑超神。（微信公众号：liudao6118或者‘六道沉沦’，敬请关注。）",爽文 皮 逗逼 轻松,奇幻·玄幻
55,这个时代名为刀,4844,纨绔子弟拿起那把刻刀，终将向这个天下证明这个时代名为刀！,东方玄幻,奇幻·玄幻
56,无尽海图,4813,"在亲眼目睹宇宙热寂之后，‘你’的意识离开自己所在的宇宙，前往未知的世界。
这是你抛弃大量冗余记忆，穿越到未知的宇宙，重新开始冒险的故事。
诅咒、秘宝、契约、遗物，这是一个被迷雾笼罩的世界。
Q群：168169770、 191443938",重生 穿越,奇幻·玄幻
57,我真不是谪仙人,4669,"如若不是落入凡间的谪仙，又怎能酒放豪肠，七分啸成剑气，三分酿成柔情，绣口一吐就是整个天下？
微信公众号：思文扫地；书友群：946096862。入群福利：读书与投资两不误",古典仙侠 侠骨柔情 权谋心术,奇幻·玄幻
58,万古第一武神,4560,"在痛苦中行走，在生死中历练，在绝望中坚持，在轮回中永生！
当绝望和黑暗笼罩所有人的时候，林天却沉默的举起了拳头！
书友群209739077",热血 爽文 重生 英雄无敌,奇幻·玄幻
59,我有一座江湖,4540,"【2021年热血玄幻类独家推荐作品】这江湖，有跛脚侠客仗剑夜行三千里；有年迈夫子一言喝退百万兵；有说书人口中风花雪月；有江湖客眼里刀光剑影。
一本无字之书，可记载身前事，能预知身后名。
你有绝世秘籍？我不怕！
你有万贯家财？我不怕！
你有满腹经纶？我还是不怕！
少年提起春秋剑，饮尽杯中酒，
悠然走向那风雨飘摇的世界。
“我手中，那可是一整座江湖！”",热血 异世 江湖 架空,奇幻·玄幻
60,罗浮,4430,"看似平静的修道界中，却隐藏着数百年气运转化的危机。
一名懵懂的山野少年，遭遇了一个代代一脉相传的神秘门派，无意中却卷动了天下风云。
＊             ＊              ＊
无罪新书《冰火破坏神》http://book.zongheng.com/book/296950.html",无罪 仙侠 热血 修真,奇幻·玄幻
61,仙武同修,4387,巅峰仙术，横行无忌；武凌天下，败尽英雄！翻掌之间，风云变色；仙武同修，谁与争锋！宅男萧晨带着淘宝上买的《修真大全》，穿越到以武为尊的天武大陆，炼丹药、修符篆、布大阵、制法宝，修炼着消失千年的青龙武魂，谱写出一段波澜壮阔的热血传奇！,热血 爽文,奇幻·玄幻
62,覆血夜刀行,4322,"走马扬刀三千里，十年夺命九千岁。
这是我前十九年的江湖命。
我在南靖踏上修行之道，带着一副白毛棺材，和一把恶贯满盈的鬼彻刀。
我命运多舛却天资聪颖，只是没想过御器飞行时还会恐高。
想杀我的仇家多如牛毛，我想杀的家伙只会越来越少。
直到有一天，我斩尽世间不平事，来到一座旧水坳。
我放眼四顾，世间再无佛魔道祖，只剩一位祖宗佬。
我和他说，我叫安化侍。
祖宗在上，请受侍儿一刀！",热血 升级 古典仙侠 英雄无敌,奇幻·玄幻
63,不死邪神,4054,扬眉风雷震，吐息翻天云，不死不灭，唯我邪神！书友群209739077，我天天在，欢迎加入讨论！,热血 爽文 争霸 重生,奇幻·玄幻
64,旧日之子,3984,"……大陆终日被浓重的黑暗所淹没。
    索尔靠在这片空旷的废墟上，看着荒芜的风景一路向北凋零。
    有人说这是一个连神都无法涉及的古老年代，光明与黑暗在这里你死我活的消亡。也有人说其实诸神早已离去，抛弃了他的子民。
    没有人能够真正的自由，我们终究会被一些琐事束缚，直到了却残生。
    ——————    
    好吧，这其实就是一个邪恶对抗整个世界的故事，正统西幻。
    在这片充满冒险的广阔大陆上，不论御姐萝莉人外娘还是巨龙小软哥布林，这里应有尽有。搞笑、日常、种田、争霸、热血这里也有。
    （观看此书的朋友请自备纸巾，呃，不要误会，用来擦眼泪的~）",异世 西幻 黑暗 魔兽,奇幻·玄幻
65,大夏王侯,3943,永夜降世，妖魔四起，百年暗夜到来之际，夏宫里走来了一位腼腆的少年郎……,穿越 玄幻 一夕烟雨 一品带刀太监,奇幻·玄幻
66,帝道独尊,3850,"天地初始，宇宙洪荒；奇门九遁，布道星空。
当地球尘封万古的雪山龙棺移位时刻，诛天大道临世，神魔文明到来，宇宙如同撕裂枷锁的神魔，演化着一个精彩绝伦的修行世界。
仙命少年从弱小中崛起，一步步踏向宇宙星海，战万界，伐仙穹......
作者微信公众号“一叶青天”，VIP订阅群：434739889",热血 爽文 争霸 法宝,奇幻·玄幻
67,九天剑主,3738,"九天九地，魂者林立。强者立于九天，如璀璨星辰，弱者匍匐大地，似渺小蝼蚁。少年白夜意外开启神秘天魂，修无上魂术，御魂御剑，冲上九天，荡尽星辰，传奇由此开始...
（公众号：火神重黎或huoshen66书友群：131602520）",法宝 升级 爽文,奇幻·玄幻
68,法学院的新生,3727,"原本是贵族才能就读的法学院，今年向平民开放招生。
三个弱鸡学生，阴差阳错的被安排进了学院。
可万万没想到……
并没什么超能力和必杀技等着他们。
只有靠智慧想办法……苟活下去。",搞笑 轻小说 养成 魔法,奇幻·玄幻
69,这个灵修太强了,3707,"因天禁而引天怒？天不仁，我便不尊，既遭天怒，我便携这一线生机，破刍狗之势，战天、胜天、立天……
（Ps:交流群号：1064456365 羽落求月票，求收藏！）",热血 升级 扮猪吃虎 妖孽,奇幻·玄幻
70,太上剑主,3678,李子初的剑很简单，至情，至爱，亦是执念之剑。寻仙路，追岁月，溯光阴，乱阴阳，逆生死，活……死人。,学院 皇朝 大世 仙,奇幻·玄幻
71,弓道煞星,3675,"一个身体羸弱的高中生，白天叫不醒，晚上看武侠，高考前夕，一睡就再也没有醒来。醒来后，却到了另一个世界，九阳大陆。这里没有魔法，没有斗气，没有武术，只有煞气和神奇的武煞星。武煞星有兽煞星和植物煞星，也有宝石煞星和武器煞星。武煞星可以辅助生活，可以战斗，也可以修炼成为九阳大陆上最为强大最为高贵的武煞师。
       少年血刚，四岁随父亲逃亡到一个拥有强大武道天赋的小镇清河镇，可在他六岁进行武道天赋检测的时候，却震惊了整个九阳大
陆……",热血 升级 异界 爽文,奇幻·玄幻
72,不败战神,3623,"少年，就是要在阳光下挥洒汗水！
少年，就是要不断战斗，然后胜利！
无尽天路之旅，无尽征途，见证少年的热血和传奇！
心怀野望，烈血如燃！
永远少年，不败战神！",热血 少年 冒险 修真,奇幻·玄幻
73,刀剑神皇,3618, 一口冰剑，一柄炎刀，一个屹立绝巅的不朽神皇传说！ 乱世狂刀，热血新作《御天神帝》，2015年4月2日八点十八分，正式起航，欢迎大家关注！,热血 爽文 穿越 升级,奇幻·玄幻
74,道,3544,"踏入仙途，风云险恶，
几度险死还生，几度魂断欲亡。
一路前行伴腥风血雨，求仰不愧天，求俯不怍地。
当有一日，迎风直入九霄，挥手拨云雾，俯茫茫苍生，以我之笔，建鼎立道。

",热血 修真 爽文 夺宝,奇幻·玄幻
75,巅峰仙道,3506,【QQ群号805640539】我修的道，在苍穹之上！我成的仙，在巅峰之上！我修有情道，不问长生问本心，不问苍天问心魂。漫漫修行，终步入巅峰仙道，与天地比寿，与日月齐光！,热血 爽文 升级 争霸,奇幻·玄幻
76,万界仙王,3428,"当你可以穿梭时空，世界都将为你改变！
叶枫在百年之前种下一颗种子，现世就多了一颗百年老药。在千年之前埋下一座神藏，现世敌人被坑的找不着北。在万年之前亲了一个姑娘，仙界的神女便等了他万年。
友情提示，本书不要在公共场合观看，否则你会笑的成为宇宙的焦点。",热血 爽文 穿越 搞笑,奇幻·玄幻
77,兽破苍穹,3418,一个落魄的世家少爷，一群风味不同的女子，一部不屈的斗战史。一个拥有神奇战兽的少年，不屈于命运，一步步踏上巅峰，赢得无数美女欢心，与天抗争？天又有什么资格跟我争？,热血 爽文 升级,奇幻·玄幻
78,九星杀神,3297,变异体质，能吞食一切，逆天功法，弑天武技，伴随着他走上掠夺之路，以杀神之名，登峰绝顶，一路伏尸百万！诸国林立，万宗驰骋，看主角笑傲群雄，荣登大道之巅，这里残酷而令人战栗！ 作者的话：《胆小勿入》九星杀神一群373585758此群已满，请加二群230390737 铁马恭候大驾的莅临。,杀神 吸血 废材 叶枫,奇幻·玄幻
79,蓝色恋曲,3295,我是战体，肩负着诛仙抗魔的重任。得到天地老人的神纸和化天神功，从此天下无敌。。。,升级 东方玄幻 爽文 玄幻,奇幻·玄幻
80,天下无敌,3239,"后文明时代，地球灵气复苏，洪荒世界再临，旧的世界格局一夕之间分崩离析，人族险些亡族灭种。
有王者得进化天书，为初代进化者，籍此平定八荒异族，令得人族在这地球上占据了一寸之地，一个全新的纪元揭开神秘的一角。 
“同阶无敌算个球啊？老子天下无敌。”叶昊死命忽悠。",爽文 灵气复苏 进化 异世,奇幻·玄幻
81,带着萌犬去巡天,3222,穿越异世，神器《社稷九鼎图》自动认主，萌犬来投，还邂逅江南首富，得授生意经，从此人生开挂，一路乘风破浪成就星帝之位，带着萌犬巡视浩瀚星空。可是他究意是谁？陆广的前世究竟隐藏着什么秘密？,热血爽文 诸仙黄昏 远古天庭 星际争霸,奇幻·玄幻
82,神山纪,3197,"门中修炼资源匮乏，没有灵石资源？可以去刷野，打不过妖兽？我们来组队吧！
我来当前排肉盾，你们在后排来打输出，妹子来当奶妈，给我回血加盾！
张辰只是一个五灵根的废柴，在没落的神山派里修仙，有所谓天才的羞辱，同门的讥笑，也有好兄弟的帮助，美人的心仪。
山雨欲来风满楼，死灰复燃的魔教势力围攻神山，师门命运岌岌可危，张辰以一人之力击退邪派高手，挽大厦于将倾……
本书是一个废柴逆袭的故事，少金手指，反派不脑残，队友也不划水，慢热型的书，欢迎收藏订阅！",古典仙侠 废柴流 升级,奇幻·玄幻
83,道无心,3193,"他，一个一级血脉的废柴，乐观的小少爷，突然成为了帝都的众矢之的！
父亲离奇死亡，让不谙世事的少年，不顾一切。没有灵根、没有属性？那就集灵种，自创五灵体，重塑灵根！拼死变强，只为父仇，却挖出了一个又一个的大恐怖！",热血 废柴流 争霸 升级,奇幻·玄幻
84,一手缚天,3133,"斩妖镇邪、突破桎梏，只为能打破所谓的尽头。
新书QQ群：1070926112",热血 复仇,奇幻·玄幻
